country;variable;percentile;year;value;age;pop
QC-MER;mscogri999;p0p100;1980;570376152921;999;i
QC-MER;mscogri999;p0p100;1981;592331304315;999;i
QC-MER;mscogri999;p0p100;1982;607937037445;999;i
QC-MER;mscogri999;p0p100;1983;620212054761;999;i
QC-MER;mscogri999;p0p100;1984;672551807469;999;i
QC-MER;mscogri999;p0p100;1985;714087299800;999;i
QC-MER;mscogri999;p0p100;1986;754115140671;999;i
QC-MER;mscogri999;p0p100;1987;788357264938;999;i
QC-MER;mscogri999;p0p100;1988;825928399563;999;i
QC-MER;mscogri999;p0p100;1989;859246566438;999;i
QC-MER;mscogri999;p0p100;1990;908612168287;999;i
QC-MER;mscogri999;p0p100;1991;920916150042;999;i
QC-MER;mscogri999;p0p100;1992;957653882637;999;i
QC-MER;mscogri999;p0p100;1993;999101022108;999;i
QC-MER;mscogri999;p0p100;1994;1045195073699;999;i
QC-MER;mscogri999;p0p100;1995;1061993848343;999;i
QC-MER;mscogri999;p0p100;1996;1085009133966;999;i
QC-MER;mscogri999;p0p100;1997;1121559886095;999;i
QC-MER;mscogri999;p0p100;1998;1174032779176;999;i
QC-MER;mscogri999;p0p100;1999;1217189230713;999;i
QC-MER;mscogri999;p0p100;2000;1267646280935;999;i
QC-MER;mscogri999;p0p100;2001;1284064709107;999;i
QC-MER;mscogri999;p0p100;2002;1303072891323;999;i
QC-MER;mscogri999;p0p100;2003;1327757882747;999;i
QC-MER;mscogri999;p0p100;2004;1375853649030;999;i
QC-MER;mscogri999;p0p100;2005;1409420057874;999;i
QC-MER;mscogri999;p0p100;2006;1429191546645;999;i
QC-MER;mscogri999;p0p100;2007;1483581958095;999;i
QC-MER;mscogri999;p0p100;2008;1513679849112;999;i
QC-MER;mscogri999;p0p100;2009;1491571176007;999;i
QC-MER;mscogri999;p0p100;2010;1517084434186;999;i
QC-MER;mscogri999;p0p100;2011;1420944527893;999;i
QC-MER;mscogri999;p0p100;2012;1452669808215;999;i
QC-MER;mscogri999;p0p100;2013;1637143852432;999;i
QC-MER;mscogri999;p0p100;2014;1662966843980;999;i
QC-MER;mscogri999;p0p100;2015;1725259844750;999;i
QC-MER;mscogri999;p0p100;2016;1737613436732;999;i
QC-MER;mscogri999;p0p100;2017;1774832205447;999;i
QC-MER;mscogri999;p0p100;2018;1799914299226;999;i
QC-MER;mscogri999;p0p100;2019;1841144442876;999;i
QC-MER;mscogri999;p0p100;2020;1835367804386;999;i
QC-MER;mscogri999;p0p100;2021;1959176155579;999;i
QC-MER;mscogri999;p0p100;2022;2005159811854;999;i
QC-MER;mscogri999;p0p100;2023;2040380992297;999;i
QC-MER;mhweali999;p0p100;1995;41870406451200;999;i
QC-MER;mhweali999;p0p100;1996;44809655681024;999;i
QC-MER;mhweali999;p0p100;1997;48514227503104;999;i
QC-MER;mhweali999;p0p100;1998;53694862721024;999;i
QC-MER;mhweali999;p0p100;1999;58960057991168;999;i
QC-MER;mhweali999;p0p100;2000;61021158899712;999;i
QC-MER;mhweali999;p0p100;2001;60755078545408;999;i
QC-MER;mhweali999;p0p100;2002;59781677056000;999;i
QC-MER;mhweali999;p0p100;2003;61577220849664;999;i
QC-MER;mhweali999;p0p100;2004;67959263854592;999;i
QC-MER;mhweali999;p0p100;2005;73713200922624;999;i
QC-MER;mhweali999;p0p100;2006;77946632011776;999;i
QC-MER;mhweali999;p0p100;2007;79801701892096;999;i
QC-MER;mhweali999;p0p100;2008;72750521647104;999;i
QC-MER;mhweali999;p0p100;2009;66829615628288;999;i
QC-MER;mhweali999;p0p100;2010;69437519560704;999;i
QC-MER;mhweali999;p0p100;2011;71003638071296;999;i
QC-MER;mhweali999;p0p100;2012;73371475771392;999;i
QC-MER;mhweali999;p0p100;2013;79968428621824;999;i
QC-MER;mhweali999;p0p100;2014;86721697415168;999;i
QC-MER;mhweali999;p0p100;2015;91829445328896;999;i
QC-MER;mhweali999;p0p100;2016;95359611174912;999;i
QC-MER;mhweali999;p0p100;2017;101445781159936;999;i
QC-MER;mhweali999;p0p100;2018;103987577618432;999;i
QC-MER;mhweali999;p0p100;2019;109131269668864;999;i
QC-MER;mhweali999;p0p100;2020;122918236323840;999;i
QC-MER;mhweali999;p0p100;2021;134951665139712;999;i
QC-MER;mhweali999;p0p100;2022;131967384289280;999;i
QC-MER;mscinxi999;p0p100;1970;-17628721879;999;i
QC-MER;mscinxi999;p0p100;1971;-17587513985;999;i
QC-MER;mscinxi999;p0p100;1972;-16392674455;999;i
QC-MER;mscinxi999;p0p100;1973;-15643086213;999;i
QC-MER;mscinxi999;p0p100;1974;-26329860115;999;i
QC-MER;mscinxi999;p0p100;1975;-14621347882;999;i
QC-MER;mscinxi999;p0p100;1976;-13888510412;999;i
QC-MER;mscinxi999;p0p100;1977;-10936877315;999;i
QC-MER;mscinxi999;p0p100;1978;-9601026517;999;i
QC-MER;mscinxi999;p0p100;1979;-4161323379;999;i
QC-MER;mscinxi999;p0p100;1980;-9218937290;999;i
QC-MER;mscinxi999;p0p100;1981;-15549081272;999;i
QC-MER;mscinxi999;p0p100;1982;-26111768287;999;i
QC-MER;mscinxi999;p0p100;1983;-25953401746;999;i
QC-MER;mscinxi999;p0p100;1984;-29198095887;999;i
QC-MER;mscinxi999;p0p100;1985;-26593259534;999;i
QC-MER;mscinxi999;p0p100;1986;-29656086843;999;i
QC-MER;mscinxi999;p0p100;1987;-22138611499;999;i
QC-MER;mscinxi999;p0p100;1988;-19726470292;999;i
QC-MER;mscinxi999;p0p100;1989;-19613408247;999;i
QC-MER;mscinxi999;p0p100;1990;-12779529610;999;i
QC-MER;mscinxi999;p0p100;1991;57612724082;999;i
QC-MER;mscinxi999;p0p100;1992;-21391613260;999;i
